questionTitle,questionType,questionDescription,correctOptionNumbers,positiveMarks,negativeMarks,questionAnswerExplanation,questionOption1,questionOption2,questionOption3,questionOption4
Question 1,single-correct,What does 'declaring the grain' mean in dimensional modeling?,1,1,0,Declaring the grain defines the level of detail stored in a fact table.,Define fact table's detail level,Create summary table,Establish key constraints,Design schema joins
Question 2,single-correct,Which schema is most denormalized and used in data marts?,1,1,0,Star schema is flat and optimized for query performance.,Star schema,Snowflake schema,Galaxy schema,3NF schema
Question 3,single-correct,Which schema combines multiple fact tables across business processes?,3,1,0,Galaxy schema supports conformed dimensions shared across star schemas.,Star schema,Snowflake schema,Galaxy schema,Hybrid schema
Question 4,single-correct,What is a degenerate dimension?,2,1,0,Degenerate dimensions exist in the fact table but have no separate dimension table.,A static dimension,A fact attribute stored as dimension,An SCD column,A junk dimension
Question 5,single-correct,What is the purpose of a junk dimension?,3,1,0,Junk dimensions group low-cardinality flags or indicators.,Track historical data,Store foreign keys,Group miscellaneous attributes,Act as primary key
Question 6,single-correct,Which SCD type preserves history by inserting a new row for change?,2,1,0,Type 2 tracks full history with new rows.,Type 1,Type 2,Type 0,Type 3
Question 7,single-correct,What does an SCD Type 6 combine?,4,1,0,Type 6 blends Types 1, 2, and 3 using current/historic attributes and rows.,Only current values,Only new rows,Only history flags,All SCD 1+2+3 features
Question 8,single-correct,Whatâ€™s the difference between surrogate and natural keys?,1,1,0,Surrogate keys are system-generated and not from source data.,System-generated key,User-entered key,Primary key only,Composite key
Question 9,single-correct,What does a bus matrix help define in dimensional modeling?,2,1,0,Bus matrix links processes to shared conformed dimensions.,ETL pipeline,Process-dimension mapping,Data partitions,Query performance
Question 10,single-correct,What does a surrogate key generator script typically produce?,1,1,0,It creates unique numeric IDs for dimension records.,Auto-incremented IDs,Concatenated codes,Hash keys,Natural IDs
